"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 34",960000,1051697.48919088,1058970.15899942,1067006.16048612,1116976.70750683,1153554.43167419,1176340.5684129,1215873.36945107,1241437.28031155,1283184.40450888,1320789.26324656,1346909.71590829,1383366.15282132,1410979.96042874,1445558.30162176,1478136.96138911,1489108.71086287,1533592.60440411,1597947.47713979,1606840.23406798,1630510.61884121
"Sample 35",960000,949343.009167905,899282.075102142,864098.856086367,862558.308488613,851146.953873584,807286.823007989,810239.065228844,786246.126298203,749747.574580732,738448.821033704,734303.981831854,707888.971827751,673537.743043344,680930.811935959,672835.102269731,652591.47150477,646117.487974698,634991.176671602,633616.783461457,616721.629597841
"Sample 36",960000,1478352.49142467,1525713.26072521,1614861.49511768,1642478.34294704,1723170.71010045,1778472.37427929,1874321.64060618,1917375.96419386,1951087.74812163,2074066.08469137,2151685.9137583,2256954.81062287,2349141.61078321,2439263.14876814,2503409.48175117,2522857.82165913,2631323.10254891,2766979.19842896,2898314.38186431,2939482.73664106
"Sample 37",960000,1257728.94606959,1268307.9396667,1390259.68397615,1530487.9544527,1684009.28504458,1814463.44576082,1945159.29512541,2112344.75499123,2261082.79528465,2450810.09140946,2628435.00392944,2836301.23706826,3068306.85176925,3389461.11369888,3520214.22261929,3779679.47834143,4092580.06524398,4322602.81904546,4602925.88276824,4893800.51028916
"Sample 38",960000,1041465.08690494,1095717.30072602,1127305.68843197,1143386.54826762,1117763.37348527,1131764.55223915,1179292.13771631,1203974.28696671,1209513.54059228,1235541.12177815,1251948.53891839,1288703.60767055,1325600.71775766,1364271.07550131,1367287.42344048,1354187.60721308,1387217.73427805,1395781.85346303,1401028.89663206,1433986.83538534
"Sample 39",960000,1090952.76943066,1151853.71529628,1201659.9020515,1243087.76974372,1288719.50875034,1346136.0980015,1364805.47368016,1382552.99089776,1448477.03690152,1506226.23954876,1527064.01858925,1581357.91962656,1663744.18885184,1680220.0334184,1804108.25810543,1824284.51585198,1927348.11103434,1949316.61505998,2083004.77024149,2071451.0301619
"Sample 40",960000,1042980.4510928,1061540.54962812,1113423.48861222,1117107.70351273,1143620.56464801,1164720.48816666,1178908.53920206,1189655.1709361,1220934.06708959,1233421.53795855,1270722.45545443,1309928.08855672,1346970.81809718,1359505.76693628,1366089.18249309,1393901.28601779,1445590.19181204,1504285.03680204,1508095.50871485,1498803.21288109
"Sample 41",960000,1117113.72670425,1197844.04385151,1285374.67720189,1357205.79695439,1455053.79859806,1557062.88270794,1665480.83690213,1826957.18058518,1906578.51968128,1996093.97767099,2157061.10085671,2318442.82095508,2486918.37845975,2716558.35786223,2828771.83377948,3029538.28353617,3168076.28416503,3379826.7097543,3627046.71453679,3823445.58517358
"Sample 42",960000,1300359.83783474,1241528.5236384,1241126.50683053,1238610.5767209,1244107.42131503,1220933.24808942,1235671.91674478,1214929.13134271,1225322.95639779,1224879.63508495,1235433.67241369,1219166.80309476,1195484.85475133,1209956.82645276,1227589.20113879,1210909.02649302,1188535.86866546,1178058.14051277,1170939.36574009,1178441.04564941
"Sample 43",960000,1001410.04958982,1015374.10646567,1012901.56932323,992250.916370226,1005417.83069616,1006883.05165118,1018803.04990957,1007022.84252197,1043361.92171231,1042838.19579683,1060544.81373488,1098159.43554244,1116122.24742264,1136740.95483891,1140528.21365304,1140946.0179786,1136662.23584093,1124146.88765015,1145631.82757113,1179269.29880985
"Sample 44",960000,1175922.15903346,1181799.61061104,1252861.06976298,1282518.21686399,1302443.23010591,1323712.58532796,1360666.75141012,1399269.4475053,1431324.96445544,1488632.07616048,1543061.54485142,1577336.29444974,1593774.6678048,1614737.29097106,1715421.08252188,1724485.80392839,1767262.98330512,1856291.15593035,1953727.67002815,1965180.59135681
"Sample 45",960000,1427339.59937832,1468166.50850309,1583024.63553383,1603533.70963332,1721920.60550845,1882710.21569089,2021728.4471651,2214784.73019789,2343279.45602553,2492796.78988574,2678099.13792959,2854178.03774886,2984400.42044577,3156862.6736538,3309459.05951233,3617259.18027904,3923651.55388486,4125123.14954932,4387085.34346083,4743168.67257841
"Sample 46",960000,1012692.09285487,1004426.67971798,1038135.23789013,1062150.71867204,1034006.2215982,995756.817953463,960339.422797766,965966.217681912,965877.950261945,920342.140191493,921677.829237151,950473.67641103,947939.244751276,918287.180206684,924901.011432793,925964.000258007,914730.413363046,913669.828841453,908103.282158589,887619.602487154
"Sample 47",960000,1468986.25889494,1411831.3166573,1344936.72332068,1289171.59155195,1213454.59208982,1205071.39990868,1174398.85496415,1159457.461844,1152564.04455761,1122844.81133205,1104432.36830553,1064084.59865421,1064323.95411817,1057595.77486647,1064178.25735201,1039895.55988782,1012491.07305864,1012937.69694921,976868.49918117,993080.228337163
"Sample 48",960000,1044598.41263847,1076512.68967377,1092796.54717435,1069426.52089417,1071308.0621172,1086871.54327465,1118901.38105215,1135985.21143685,1167125.3545871,1219434.25131834,1289750.07871352,1317116.33796891,1359425.13799228,1399397.23731903,1456458.77166489,1494475.68984688,1583943.64961064,1613957.00460332,1645660.14106466,1675492.38456085
"Sample 49",960000,1451153.09520099,1315369.31887137,1328978.47719561,1343393.76034547,1382605.05794825,1385104.44382706,1420757.25955467,1502917.70411544,1515390.93415735,1519927.26463133,1541377.16971369,1563864.63166616,1565494.5263571,1613639.1770463,1602022.67620859,1588905.27200641,1563391.018906,1574752.68780157,1558292.93953625,1580504.8366651
"Sample 50",960000,1448966.11392663,1626430.63103833,1796864.91623334,1810820.92192497,1872529.25263384,1970487.9505917,2090974.10370328,2189206.0320113,2261555.88686874,2339410.71349695,2371268.97952691,2468739.36904463,2564981.99177467,2751046.15854153,2887495.48605858,3016174.62674981,3020242.19322195,3156054.31636647,3239061.3385332,3351553.74630682
"Sample 51",960000,1045133.25303993,1056192.77119901,1087666.70022,1080272.17987722,1095686.99326951,1117255.60346285,1171077.77839247,1215697.7789325,1220150.53668966,1254700.96142067,1249541.77657055,1264569.70699768,1302001.67642432,1337671.7979462,1378279.06280576,1432125.40487514,1434535.40575309,1450193.84976564,1486959.54479803,1520466.02628595
"Sample 52",960000,1249713.11218738,1118686.57312431,1129717.80637281,1128876.74954469,1074682.19443216,1046206.76124946,1024842.64034378,1047102.1975285,1017005.02608481,1022146.27941393,1005886.21446277,983192.770721834,963721.403237173,967350.734388456,950699.14324391,919017.740498924,924971.542723459,877489.371388471,885140.095433207,872304.463689588
"Sample 53",960000,1613348.04478545,1644011.51953383,1800398.21587088,1914108.52948956,2080004.41482909,2252332.42045661,2417937.48498659,2644647.30838473,2791711.13317608,3034064.50523488,3295312.58087647,3578417.28115712,3863382.15981105,4162413.3427224,4501025.70229578,4942008.42644812,5386081.74338176,5849170.28070511,6172720.58309832,6641200.96128315
"Sample 54",960000,983685.325298648,974521.757973999,966805.876736251,954079.822596389,946981.307505495,897223.572421391,893095.72128319,899284.109703986,878842.908072295,879612.019824406,866967.61626186,863978.851313329,888436.529459573,882119.526633113,873460.023279554,887725.023379494,856365.78138706,856931.228224528,855910.01853484,863990.754112243
"Sample 55",960000,1183017.25950748,1230390.17586897,1304303.59268238,1466565.64366675,1549147.08050481,1618908.51474148,1738620.60995778,1897937.99320055,2106516.22816818,2186782.89978636,2277437.0327179,2382427.36270661,2630360.80707472,2835778.71419568,3095481.44084796,3403278.88060008,3638488.25157205,3861196.2432627,4092432.73654227,4470567.1123644
"Sample 56",960000,1012601.1782626,1009890.00886393,1015885.78075221,1033169.81807442,1009188.42708769,994782.445808461,966786.521814005,973561.069212679,977640.049032027,958011.502729919,948496.367191709,943570.107821585,930983.006303887,912283.673643558,922559.63762194,895407.520881839,866954.824614317,866258.830423437,878076.683481488,871551.165439813
"Sample 57",960000,1023108.97021045,1109565.75609964,1164977.28112089,1219140.20662648,1269357.40339747,1349999.65192257,1397069.50316104,1445808.23806338,1533622.06870137,1646442.39052848,1722861.73841611,1854365.05657206,1949823.96077446,2036637.30856083,2128467.32229941,2288585.58354519,2436407.95791662,2605429.00131615,2769263.55541498,2903184.0218919
"Sample 58",960000,982236.625161796,959671.399709309,940871.457536455,944078.636870965,944230.469900909,934327.053221476,930902.480867191,923502.7494416,882218.168491313,854799.914435073,826741.945566281,811960.860450287,794501.481340483,755228.507690312,760882.634758749,753852.477200578,727489.125614412,709577.315400086,712340.410839682,685969.739086361
"Sample 59",960000,994430.139889137,1050511.39857348,1106360.28562359,1156241.0704095,1220599.49680696,1277342.01827762,1276218.41582941,1314131.29606262,1360051.92253821,1440611.39216909,1516524.66044516,1595374.57453831,1646461.07284178,1717162.45107694,1788173.43499414,1865983.82008118,1950277.05270461,2038513.6941349,2127735.38123312,2201175.7921235
"Sample 60",960000,1186402.15153778,1235865.60231414,1279788.58815923,1299522.22269765,1296264.36916151,1332947.09809462,1389560.3237872,1442405.6812322,1480819.59288606,1524088.01463865,1601264.2944817,1668713.32399165,1685304.11662055,1750365.2817578,1823898.65367944,1850072.29638748,1945061.95444931,2039277.05621577,2104171.84423998,2119828.55567973
"Sample 61",960000,1502131.1301102,1474988.10950744,1608518.28430944,1753240.23547384,1876251.16203869,2050495.46641556,2288586.92391749,2447405.81901442,2674635.64024036,2873750.79236665,3110533.11799996,3420024.16596526,3814887.90209036,3896974.47749261,4288327.06823556,4758500.46605708,5034896.01734689,5670577.9454949,6016953.49132148,6655146.24460713
"Sample 62",960000,1026409.7825849,1027831.67054826,1018996.95837378,987498.718629632,938166.716740094,926229.119854404,904793.51411424,911920.31706314,904190.223776674,893088.061097485,860462.47461341,850397.211256542,839497.471760169,827869.158423817,828040.002858214,822364.389050712,811928.883920238,777790.992090559,773093.671512948,771063.066575278
"Sample 63",960000,979069.611032842,957949.217478955,973162.667286426,970148.141843454,966503.499846795,993096.573451156,974153.100645766,998356.610538277,1006445.64364371,996696.284660315,1002098.2792041,1037236.24032289,1042236.36711876,1053062.57724833,1053701.04036853,1050477.01235913,1062135.94351316,1073933.58299205,1040569.18370948,1036054.26227584
"Sample 64",960000,1208053.93891736,1212713.33424176,1326005.54933494,1357428.40272791,1426966.40935088,1539601.33020572,1629289.67212585,1782662.88932783,1875133.59812314,1990015.3855457,2081976.77600729,2141909.17793047,2321667.09171494,2463192.27596415,2613269.68254935,2793198.85465087,2952072.39036901,3137376.35032337,3385871.3514133,3496380.09413966
"Sample 65",960000,1118809.86543412,1126241.20404317,1196766.90658248,1227505.6416606,1283409.34703772,1361302.37325886,1374339.22377147,1410258.2536131,1498649.23707215,1621550.04669471,1711973.06005449,1769713.0670356,1784823.34276972,1868625.99245929,1897945.20135915,1925547.14861705,1986735.28619589,2028799.58837494,2043452.64094223,2146306.97894946
"Sample 66",960000,1113299.77575239,1151421.49240212,1230236.77415546,1289257.8659924,1317337.3866031,1349353.78599096,1374546.37393746,1414927.42820823,1494229.59310825,1563413.17565242,1608234.69100545,1679129.3399799,1766596.10499094,1774266.30380287,1866649.6719596,1976715.73838537,2050979.24547591,2122269.83099578,2194221.84096841,2253991.65990151
"Sample 67",960000,1296237.72136419,1308566.91928804,1406215.8683912,1522869.03026327,1697305.34889394,1834927.06102335,1958247.92980624,2071069.13908585,2200927.30019384,2333441.70610084,2480901.10939294,2564478.58504453,2780445.96183623,3016934.43960614,3227007.54557879,3346559.12074456,3584870.04328788,3841196.34881748,4023582.04904646,4272969.33528282
"Sample 68",960000,992919.506470599,998272.434271561,1024317.92256773,1018487.0797714,987917.567724772,1016860.35155307,1019841.49532728,1011099.62682916,997358.743733213,1006820.10623552,1028167.20143868,1036500.47690004,1033950.30413351,1051060.9825022,1061432.86059986,1055720.81397195,1066754.52719532,1096911.67369498,1127830.78411878,1140285.71832373
"Sample 69",960000,1551723.36679199,1490318.95480618,1646612.27475622,1652264.67107393,1733555.67630667,1808057.56602803,1915915.32228128,2034459.39982442,2167173.20494216,2279142.87750741,2499413.68415329,2596239.75002842,2822900.90162877,2971103.25861884,3143795.10936462,3355343.43351899,3399618.86525892,3664607.36486445,3905902.21767063,4016327.47689052
"Sample 70",960000,1162883.91908477,1169437.81335323,1251307.73973067,1306694.47671529,1403022.92485283,1526543.2227277,1665624.28427754,1774337.32978232,1920883.77398059,1952338.37998413,2124868.35011466,2303586.20430504,2487745.41133718,2736421.82656546,2904614.20879915,3122013.59070264,3290209.2374974,3694646.35909538,3920811.18002242,4147444.27609928
"Sample 71",960000,1387295.94906627,1258321.13115966,1281678.69154488,1286773.92071282,1301110.24698287,1309117.71870139,1295141.81240028,1285194.39899973,1232016.88341068,1275536.15011791,1268069.2312801,1294647.12323061,1314568.67449531,1319353.26087382,1309922.4780868,1317004.13540611,1315640.60763592,1270735.97858853,1322579.32430576,1327278.52471064
"Sample 72",960000,1219010.50975315,1172250.04494958,1183167.57849122,1224741.99783261,1243933.8644937,1246468.66218452,1278349.92777877,1263271.27101366,1274764.15834583,1312353.07815435,1275147.29599773,1301310.49289139,1308337.65392528,1359998.35481258,1380378.10878527,1382119.45603845,1430260.1767667,1436386.61582369,1446537.48364061,1528156.78093305
"Sample 73",960000,1007825.05214259,1026948.78855074,1022924.9696553,1021586.30899922,1029874.46500471,1042781.37934588,1052502.33988142,1038886.97698548,1074871.10218757,1093703.87160685,1089441.00169302,1128190.64698261,1114344.76673508,1148089.42220313,1168042.26622378,1187134.78455318,1194414.54674343,1176378.97160918,1184761.44441731,1191858.73787277
"Sample 74",960000,1126076.36620449,1176314.70800681,1206308.74367296,1233309.13127307,1313873.96924546,1383095.76833361,1485406.09958137,1539650.07101204,1624219.32611235,1708501.66773672,1742004.05430086,1852055.03946389,1924608.31515428,2092949.65502443,2233546.01862308,2361133.0556206,2519081.84563004,2662030.49954527,2794176.50577789,2845568.91723979
"Sample 75",960000,1121374.45114544,1165650.68758031,1247025.24080028,1320310.97773463,1402666.73816508,1473366.91667252,1602741.06958535,1702925.8419523,1844428.97591689,1895537.70299093,2034552.54622837,2119728.05735222,2187257.50682548,2238241.4233935,2380609.28149889,2506218.02999077,2720577.12297372,2841116.55062326,3046808.9802482,3192568.51222388
